metric_id,product_id,marketplace_id,monthly_search_volume,estimated_monthly_sales,is_synthetic
metric_ea_001,product_ea_001,marketplace_amazon_us,4826,26,true
metric_ea_002,product_ea_002,marketplace_amazon_us,22775,282,true
metric_ea_003,product_ea_003,marketplace_amazon_us,6350,1180,true
metric_ea_004,product_ea_004,marketplace_amazon_us,14912,35,true
metric_ea_005,product_ea_005,marketplace_amazon_us,4850,901,true
metric_ea_006,product_ea_006,marketplace_amazon_us,18250,703,true
metric_ea_007,product_ea_007,marketplace_amazon_us,20286,416,true
metric_ea_008,product_ea_008,marketplace_amazon_us,13231,940,true
metric_ea_009,product_ea_009,marketplace_amazon_us,5014,1553,true
metric_ea_010,product_ea_010,marketplace_amazon_us,18903,740,true
metric_ea_011,product_ea_011,marketplace_amazon_us,14232,390,true
metric_ea_012,product_ea_012,marketplace_amazon_us,18842,1717,true
metric_ea_013,product_ea_013,marketplace_amazon_us,8194,321,true
metric_ea_014,product_ea_014,marketplace_amazon_us,12599,722,true
metric_ea_015,product_ea_015,marketplace_amazon_us,24619,1743,true
metric_ea_016,product_ea_016,marketplace_amazon_us,23330,67,true
metric_ea_017,product_ea_017,marketplace_amazon_us,4510,172,true
metric_ea_018,product_ea_018,marketplace_amazon_us,16305,1621,true
metric_ea_019,product_ea_019,marketplace_amazon_us,21136,1779,true
metric_ea_020,product_ea_020,marketplace_amazon_us,3074,1474,true
metric_ea_021,product_ea_021,marketplace_amazon_us,14447,1437,true
metric_ea_022,product_ea_022,marketplace_amazon_us,13164,1093,true
metric_ea_023,product_ea_023,marketplace_amazon_us,7157,508,true
metric_ea_024,product_ea_024,marketplace_amazon_us,15816,468,true
metric_ea_025,product_ea_025,marketplace_amazon_us,7189,771,true
metric_ea_026,product_ea_026,marketplace_amazon_us,18705,985,true
metric_ea_027,product_ea_027,marketplace_amazon_us,15334,899,true
metric_ea_028,product_ea_028,marketplace_amazon_us,5668,144,true
metric_ea_029,product_ea_029,marketplace_amazon_us,13663,74,true
metric_ea_030,product_ea_030,marketplace_amazon_us,10939,847,true
metric_ea_031,product_ea_031,marketplace_amazon_us,7554,1407,true
metric_ea_032,product_ea_032,marketplace_amazon_us,7193,998,true
metric_ct_001,product_ct_001,marketplace_amazon_us,12047,1227,true
metric_ct_002,product_ct_002,marketplace_amazon_us,23226,958,true
metric_ct_003,product_ct_003,marketplace_amazon_us,5011,933,true
metric_ct_004,product_ct_004,marketplace_amazon_us,23602,1313,true
metric_ct_005,product_ct_005,marketplace_amazon_us,3789,260,true
metric_ct_006,product_ct_006,marketplace_amazon_us,18549,1670,true
metric_ct_007,product_ct_007,marketplace_amazon_us,9677,1308,true
metric_ct_008,product_ct_008,marketplace_amazon_us,16120,139,true
metric_ct_009,product_ct_009,marketplace_amazon_us,7091,1643,true
metric_ct_010,product_ct_010,marketplace_amazon_us,15728,988,true
metric_ct_011,product_ct_011,marketplace_amazon_us,18253,1306,true
metric_ct_012,product_ct_012,marketplace_amazon_us,22306,787,true
metric_ct_013,product_ct_013,marketplace_amazon_us,21696,1543,true
metric_ct_014,product_ct_014,marketplace_amazon_us,6685,1568,true
metric_ct_015,product_ct_015,marketplace_amazon_us,21693,1275,true
metric_ct_016,product_ct_016,marketplace_amazon_us,5023,97,true
metric_ct_017,product_ct_017,marketplace_amazon_us,17365,1480,true
metric_ct_018,product_ct_018,marketplace_amazon_us,24258,582,true
metric_ct_019,product_ct_019,marketplace_amazon_us,17597,637,true
metric_ct_020,product_ct_020,marketplace_amazon_us,3393,831,true
metric_ct_021,product_ct_021,marketplace_amazon_us,9848,1772,true
metric_ct_022,product_ct_022,marketplace_amazon_us,20712,986,true
metric_ct_023,product_ct_023,marketplace_amazon_us,8283,88,true
metric_ct_024,product_ct_024,marketplace_amazon_us,6564,515,true
metric_ct_025,product_ct_025,marketplace_amazon_us,5953,1174,true
metric_ct_026,product_ct_026,marketplace_amazon_us,5896,716,true
metric_ct_027,product_ct_027,marketplace_amazon_us,18944,1736,true
metric_ct_028,product_ct_028,marketplace_amazon_us,15742,1611,true
metric_ct_029,product_ct_029,marketplace_amazon_us,6950,333,true
metric_ct_030,product_ct_030,marketplace_amazon_us,8977,1690,true
metric_ct_031,product_ct_031,marketplace_amazon_us,604,754,true
metric_ct_032,product_ct_032,marketplace_amazon_us,542,1487,true
metric_hg_001,product_hg_001,marketplace_amazon_us,17851,1180,true
metric_hg_002,product_hg_002,marketplace_amazon_us,20440,906,true
metric_hg_003,product_hg_003,marketplace_amazon_us,19010,916,true
metric_hg_004,product_hg_004,marketplace_amazon_us,1292,753,true
